Series,Country,Rank,Year
5th pillar: Higher education and training,Libya,104,2013-2014
"5.01 Secondary education enrollment, gross %*",Libya,11,2012-2013
"5.02 Tertiary education enrollment, gross %*",Libya,46,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Libya,142,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Libya,135,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Libya,144,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Libya,134,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Libya,143,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Libya,140,2012-2013
5th pillar: Higher education and training,Libya,103,2012-2013
"5.01 Secondary education enrollment, gross %*",Libya,,2011-2012
"5.02 Tertiary education enrollment, gross %*",Libya,,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Libya,,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Libya,,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Libya,,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Libya,,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Libya,,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Libya,,2011-2012
5th pillar: Higher education and training,Libya,,2011-2012
"5.01 Secondary education enrollment, gross %*",Libya,48,2010-2011
"5.02 Tertiary education enrollment, gross %*",Libya,37,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Libya,138,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Libya,113,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Libya,137,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Libya,129,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Libya,134,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Libya,110,2010-2011
5th pillar: Higher education and training,Libya,95,2010-2011
"5.01 Secondary education enrollment, gross %*",Libya,48,2009-2010
"5.02 Tertiary education enrollment, gross %*",Libya,34,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Libya,128,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Libya,80,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Libya,133,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Libya,121,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Libya,114,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Libya,99,2009-2010
5th pillar: Higher education and training,Libya,75,2009-2010
"5.01 Secondary education enrollment, gross %*",Libya,49,2008-2009
"5.02 Tertiary education enrollment, gross %*",Libya,32,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Libya,121,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Libya,90,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Libya,130,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Libya,126,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Libya,106,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Libya,114,2008-2009
5th pillar: Higher education and training,Libya,75,2008-2009
"5.01 Secondary education enrollment, gross %*",Libya,17,2007-2008
"5.02 Tertiary education enrollment, gross %*",Libya,30,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Libya,124,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Libya,98,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Libya,126,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Libya,126,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Libya,114,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Libya,106,2007-2008
5th pillar: Higher education and training,Libya,76,2007-2008
"5.01 Secondary education enrollment, gross %*",Lithuania,23,2017-2018
"5.02 Tertiary education enrollment, gross %*",Lithuania,30,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Lithuania,73,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Lithuania,45,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Lithuania,81,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Lithuania,16,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Lithuania,42,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Lithuania,32,2017-2018
5th pillar: Higher education and training,Lithuania,29,2017-2018
"5.01 Secondary education enrollment, gross %*",Lithuania,28,2016-2017
"5.02 Tertiary education enrollment, gross %*",Lithuania,29,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Lithuania,57,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Lithuania,26,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Lithuania,67,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Lithuania,16,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Lithuania,39,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Lithuania,33,2016-2017
5th pillar: Higher education and training,Lithuania,26,2016-2017
"5.01 Secondary education enrollment, gross %*",Lithuania,21,2015-2016
"5.02 Tertiary education enrollment, gross %*",Lithuania,21,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Lithuania,53,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Lithuania,20,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Lithuania,53,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Lithuania,11,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Lithuania,29,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Lithuania,35,2015-2016
5th pillar: Higher education and training,Lithuania,24,2015-2016
"5.01 Secondary education enrollment, gross %*",Lithuania,18,2014-2015
"5.02 Tertiary education enrollment, gross %*",Lithuania,22,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Lithuania,55,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Lithuania,23,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Lithuania,60,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Lithuania,23,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Lithuania,33,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Lithuania,50,2014-2015
5th pillar: Higher education and training,Lithuania,26,2014-2015
"5.01 Secondary education enrollment, gross %*",Lithuania,41,2013-2014
"5.02 Tertiary education enrollment, gross %*",Lithuania,24,2013-2014
"5.03 Quality of the education system, 1-7 (best)",Lithuania,59,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Lithuania,16,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Lithuania,60,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Lithuania,23,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Lithuania,40,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Lithuania,59,2013-2014
5th pillar: Higher education and training,Lithuania,27,2013-2014
"5.01 Secondary education enrollment, gross %*",Lithuania,39,2012-2013
"5.02 Tertiary education enrollment, gross %*",Lithuania,16,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Lithuania,54,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Lithuania,16,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Lithuania,57,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Lithuania,23,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Lithuania,48,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Lithuania,66,2012-2013
5th pillar: Higher education and training,Lithuania,26,2012-2013
"5.01 Secondary education enrollment, gross %*",Lithuania,32,2011-2012
"5.02 Tertiary education enrollment, gross %*",Lithuania,12,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Lithuania,64,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Lithuania,21,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Lithuania,66,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Lithuania,27,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Lithuania,46,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Lithuania,65,2011-2012
5th pillar: Higher education and training,Lithuania,26,2011-2012
"5.01 Secondary education enrollment, gross %*",Lithuania,29,2010-2011
"5.02 Tertiary education enrollment, gross %*",Lithuania,11,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Lithuania,70,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Lithuania,29,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Lithuania,68,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Lithuania,27,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Lithuania,38,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Lithuania,64,2010-2011
5th pillar: Higher education and training,Lithuania,25,2010-2011
"5.01 Secondary education enrollment, gross %*",Lithuania,34,2009-2010
"5.02 Tertiary education enrollment, gross %*",Lithuania,11,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Lithuania,76,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Lithuania,37,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Lithuania,60,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Lithuania,32,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Lithuania,51,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Lithuania,60,2009-2010
5th pillar: Higher education and training,Lithuania,30,2009-2010
"5.01 Secondary education enrollment, gross %*",Lithuania,30,2008-2009
"5.02 Tertiary education enrollment, gross %*",Lithuania,11,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Lithuania,64,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Lithuania,22,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Lithuania,52,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Lithuania,39,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Lithuania,56,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Lithuania,38,2008-2009
5th pillar: Higher education and training,Lithuania,26,2008-2009
"5.01 Secondary education enrollment, gross %*",Lithuania,20,2007-2008
"5.02 Tertiary education enrollment, gross %*",Lithuania,12,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Lithuania,44,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Lithuania,18,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Lithuania,48,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Lithuania,32,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Lithuania,48,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Lithuania,41,2007-2008
5th pillar: Higher education and training,Lithuania,25,2007-2008
"5.01 Secondary education enrollment, gross %*",Luxembourg,39,2017-2018
"5.02 Tertiary education enrollment, gross %*",Luxembourg,98,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Luxembourg,39,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Luxembourg,43,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Luxembourg,47,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Luxembourg,25,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Luxembourg,32,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Luxembourg,4,2017-2018
5th pillar: Higher education and training,Luxembourg,50,2017-2018
"5.01 Secondary education enrollment, gross %*",Luxembourg,34,2016-2017
"5.02 Tertiary education enrollment, gross %*",Luxembourg,100,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Luxembourg,31,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Luxembourg,49,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Luxembourg,42,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Luxembourg,28,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Luxembourg,28,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Luxembourg,5,2016-2017
5th pillar: Higher education and training,Luxembourg,47,2016-2017
"5.01 Secondary education enrollment, gross %*",Luxembourg,34,2015-2016
"5.02 Tertiary education enrollment, gross %*",Luxembourg,92,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Luxembourg,23,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Luxembourg,32,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Luxembourg,34,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Luxembourg,24,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Luxembourg,22,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Luxembourg,2,2015-2016
5th pillar: Higher education and training,Luxembourg,40,2015-2016
"5.01 Secondary education enrollment, gross %*",Luxembourg,30,2014-2015
"5.02 Tertiary education enrollment, gross %*",Luxembourg,95,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Luxembourg,25,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Luxembourg,28,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Luxembourg,39,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Luxembourg,14,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Luxembourg,22,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Luxembourg,3,2014-2015
5th pillar: Higher education and training,Luxembourg,43,2014-2015
"5.01 Secondary education enrollment, gross %*",Luxembourg,34,2013-2014
"5.02 Tertiary education enrollment, gross %*",Luxembourg,96,2013-2014
"5.03 Quality of the education system, 1-7 (best)",Luxembourg,34,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Luxembourg,44,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Luxembourg,55,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Luxembourg,9,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Luxembourg,21,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Luxembourg,3,2013-2014
5th pillar: Higher education and training,Luxembourg,36,2013-2014
"5.01 Secondary education enrollment, gross %*",Luxembourg,41,2012-2013
"5.02 Tertiary education enrollment, gross %*",Luxembourg,110,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Luxembourg,36,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Luxembourg,46,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Luxembourg,60,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Luxembourg,14,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Luxembourg,22,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Luxembourg,4,2012-2013
5th pillar: Higher education and training,Luxembourg,44,2012-2013
"5.01 Secondary education enrollment, gross %*",Luxembourg,44,2011-2012
"5.02 Tertiary education enrollment, gross %*",Luxembourg,109,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Luxembourg,35,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Luxembourg,47,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Luxembourg,58,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Luxembourg,22,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Luxembourg,25,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Luxembourg,7,2011-2012
5th pillar: Higher education and training,Luxembourg,40,2011-2012
"5.01 Secondary education enrollment, gross %*",Luxembourg,39,2010-2011
"5.02 Tertiary education enrollment, gross %*",Luxembourg,108,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Luxembourg,36,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Luxembourg,45,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Luxembourg,66,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Luxembourg,19,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Luxembourg,28,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Luxembourg,5,2010-2011
5th pillar: Higher education and training,Luxembourg,41,2010-2011
"5.01 Secondary education enrollment, gross %*",Luxembourg,38,2009-2010
"5.02 Tertiary education enrollment, gross %*",Luxembourg,104,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Luxembourg,38,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Luxembourg,46,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Luxembourg,73,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Luxembourg,20,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Luxembourg,38,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Luxembourg,6,2009-2010
5th pillar: Higher education and training,Luxembourg,39,2009-2010
"5.01 Secondary education enrollment, gross %*",Luxembourg,38,2008-2009
"5.02 Tertiary education enrollment, gross %*",Luxembourg,103,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Luxembourg,41,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Luxembourg,54,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Luxembourg,86,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Luxembourg,22,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Luxembourg,38,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Luxembourg,14,2008-2009
5th pillar: Higher education and training,Luxembourg,47,2008-2009
"5.01 Secondary education enrollment, gross %*",Luxembourg,41,2007-2008
"5.02 Tertiary education enrollment, gross %*",Luxembourg,96,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Luxembourg,38,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Luxembourg,40,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Luxembourg,91,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Luxembourg,19,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Luxembourg,44,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Luxembourg,18,2007-2008
5th pillar: Higher education and training,Luxembourg,43,2007-2008
"5.01 Secondary education enrollment, gross %*","Macedonia, FYR",,2017-2018
"5.02 Tertiary education enrollment, gross %*","Macedonia, FYR",,2017-2018
"5.03 Quality of the education system, 1-7 (best)","Macedonia, FYR",,2017-2018
"5.04 Quality of math and science education, 1-7 (best)","Macedonia, FYR",,2017-2018
"5.05 Quality of management schools, 1-7 (best)","Macedonia, FYR",,2017-2018
"5.06 Internet access in schools, 1-7 (best)","Macedonia, FYR",,2017-2018
"5.07 Availability of research and training services, 1-7 (best)","Macedonia, FYR",,2017-2018
"5.08 Extent of staff training, 1-7 (best)","Macedonia, FYR",,2017-2018
5th pillar: Higher education and training,"Macedonia, FYR",,2017-2018
"5.01 Secondary education enrollment, gross %*","Macedonia, FYR",93,2016-2017
"5.02 Tertiary education enrollment, gross %*","Macedonia, FYR",70,2016-2017
"5.03 Quality of the education system, 1-7 (best)","Macedonia, FYR",70,2016-2017
"5.04 Quality of math and science education, 1-7 (best)","Macedonia, FYR",70,2016-2017
"5.05 Quality of management schools, 1-7 (best)","Macedonia, FYR",88,2016-2017
"5.06 Internet access in schools, 1-7 (best)","Macedonia, FYR",45,2016-2017
"5.07 Availability of research and training services, 1-7 (best)","Macedonia, FYR",74,2016-2017
"5.08 Extent of staff training, 1-7 (best)","Macedonia, FYR",89,2016-2017
5th pillar: Higher education and training,"Macedonia, FYR",76,2016-2017
"5.01 Secondary education enrollment, gross %*","Macedonia, FYR",87,2015-2016
"5.02 Tertiary education enrollment, gross %*","Macedonia, FYR",n/a,2015-2016
"5.03 Quality of the education system, 1-7 (best)","Macedonia, FYR",61,2015-2016
"5.04 Quality of math and science education, 1-7 (best)","Macedonia, FYR",60,2015-2016
"5.05 Quality of management schools, 1-7 (best)","Macedonia, FYR",81,2015-2016
"5.06 Internet access in schools, 1-7 (best)","Macedonia, FYR",35,2015-2016
"5.07 Availability of research and training services, 1-7 (best)","Macedonia, FYR",83,2015-2016
"5.08 Extent of staff training, 1-7 (best)","Macedonia, FYR",96,2015-2016
5th pillar: Higher education and training,"Macedonia, FYR",46,2015-2016
"5.01 Secondary education enrollment, gross %*","Macedonia, FYR",91,2014-2015
"5.02 Tertiary education enrollment, gross %*","Macedonia, FYR",70,2014-2015
"5.03 Quality of the education system, 1-7 (best)","Macedonia, FYR",53,2014-2015
"5.04 Quality of math and science education, 1-7 (best)","Macedonia, FYR",48,2014-2015
"5.05 Quality of management schools, 1-7 (best)","Macedonia, FYR",90,2014-2015
"5.06 Internet access in schools, 1-7 (best)","Macedonia, FYR",33,2014-2015
"5.07 Availability of research and training services, 1-7 (best)","Macedonia, FYR",93,2014-2015
"5.08 Extent of staff training, 1-7 (best)","Macedonia, FYR",81,2014-2015
5th pillar: Higher education and training,"Macedonia, FYR",71,2014-2015
"5.01 Secondary education enrollment, gross %*","Macedonia, FYR",85,2013-2014
"5.02 Tertiary education enrollment, gross %*","Macedonia, FYR",68,2013-2014
"5.03 Quality of the education system, 1-7 (best)","Macedonia, FYR",70,2013-2014
"5.04 Quality of math and science education, 1-7 (best)","Macedonia, FYR",51,2013-2014
"5.05 Quality of management schools, 1-7 (best)","Macedonia, FYR",99,2013-2014
"5.06 Internet access in schools, 1-7 (best)","Macedonia, FYR",40,2013-2014
"5.07 Availability of research and training services, 1-7 (best)","Macedonia, FYR",78,2013-2014
"5.08 Extent of staff training, 1-7 (best)","Macedonia, FYR",104,2013-2014
5th pillar: Higher education and training,"Macedonia, FYR",76,2013-2014
"5.01 Secondary education enrollment, gross %*","Macedonia, FYR",84,2012-2013
"5.02 Tertiary education enrollment, gross %*","Macedonia, FYR",65,2012-2013
"5.03 Quality of the education system, 1-7 (best)","Macedonia, FYR",88,2012-2013
"5.04 Quality of math and science education, 1-7 (best)","Macedonia, FYR",67,2012-2013
"5.05 Quality of management schools, 1-7 (best)","Macedonia, FYR",106,2012-2013
"5.06 Internet access in schools, 1-7 (best)","Macedonia, FYR",46,2012-2013
"5.07 Availability of research and training services, 1-7 (best)","Macedonia, FYR",87,2012-2013
"5.08 Extent of staff training, 1-7 (best)","Macedonia, FYR",126,2012-2013
5th pillar: Higher education and training,"Macedonia, FYR",81,2012-2013
"5.01 Secondary education enrollment, gross %*","Macedonia, FYR",78,2011-2012
"5.02 Tertiary education enrollment, gross %*","Macedonia, FYR",58,2011-2012
"5.03 Quality of the education system, 1-7 (best)","Macedonia, FYR",75,2011-2012
"5.04 Quality of math and science education, 1-7 (best)","Macedonia, FYR",75,2011-2012
"5.05 Quality of management schools, 1-7 (best)","Macedonia, FYR",100,2011-2012
"5.06 Internet access in schools, 1-7 (best)","Macedonia, FYR",46,2011-2012
"5.07 Availability of research and training services, 1-7 (best)","Macedonia, FYR",108,2011-2012
"5.08 Extent of staff training, 1-7 (best)","Macedonia, FYR",124,2011-2012
5th pillar: Higher education and training,"Macedonia, FYR",80,2011-2012
"5.01 Secondary education enrollment, gross %*","Macedonia, FYR",79,2010-2011
"5.02 Tertiary education enrollment, gross %*","Macedonia, FYR",58,2010-2011
"5.03 Quality of the education system, 1-7 (best)","Macedonia, FYR",59,2010-2011
"5.04 Quality of math and science education, 1-7 (best)","Macedonia, FYR",61,2010-2011
"5.05 Quality of management schools, 1-7 (best)","Macedonia, FYR",75,2010-2011
"5.06 Internet access in schools, 1-7 (best)","Macedonia, FYR",54,2010-2011
"5.07 Availability of research and training services, 1-7 (best)","Macedonia, FYR",102,2010-2011
"5.08 Extent of staff training, 1-7 (best)","Macedonia, FYR",119,2010-2011
5th pillar: Higher education and training,"Macedonia, FYR",72,2010-2011
"5.01 Secondary education enrollment, gross %*","Macedonia, FYR",79,2009-2010
"5.02 Tertiary education enrollment, gross %*","Macedonia, FYR",60,2009-2010
"5.03 Quality of the education system, 1-7 (best)","Macedonia, FYR",59,2009-2010
"5.04 Quality of math and science education, 1-7 (best)","Macedonia, FYR",57,2009-2010
"5.05 Quality of management schools, 1-7 (best)","Macedonia, FYR",78,2009-2010
"5.06 Internet access in schools, 1-7 (best)","Macedonia, FYR",61,2009-2010
"5.07 Availability of research and training services, 1-7 (best)","Macedonia, FYR",101,2009-2010
"5.08 Extent of staff training, 1-7 (best)","Macedonia, FYR",103,2009-2010
5th pillar: Higher education and training,"Macedonia, FYR",70,2009-2010
"5.01 Secondary education enrollment, gross %*","Macedonia, FYR",77,2008-2009
"5.02 Tertiary education enrollment, gross %*","Macedonia, FYR",69,2008-2009
"5.03 Quality of the education system, 1-7 (best)","Macedonia, FYR",65,2008-2009
"5.04 Quality of math and science education, 1-7 (best)","Macedonia, FYR",52,2008-2009
"5.05 Quality of management schools, 1-7 (best)","Macedonia, FYR",92,2008-2009
"5.06 Internet access in schools, 1-7 (best)","Macedonia, FYR",84,2008-2009
"5.07 Availability of research and training services, 1-7 (best)","Macedonia, FYR",99,2008-2009
"5.08 Extent of staff training, 1-7 (best)","Macedonia, FYR",83,2008-2009
5th pillar: Higher education and training,"Macedonia, FYR",73,2008-2009
"5.01 Secondary education enrollment, gross %*","Macedonia, FYR",71,2007-2008
"5.02 Tertiary education enrollment, gross %*","Macedonia, FYR",65,2007-2008
"5.03 Quality of the education system, 1-7 (best)","Macedonia, FYR",57,2007-2008
"5.04 Quality of math and science education, 1-7 (best)","Macedonia, FYR",51,2007-2008
"5.05 Quality of management schools, 1-7 (best)","Macedonia, FYR",94,2007-2008
"5.06 Internet access in schools, 1-7 (best)","Macedonia, FYR",101,2007-2008
"5.07 Availability of research and training services, 1-7 (best)","Macedonia, FYR",96,2007-2008
"5.08 Extent of staff training, 1-7 (best)","Macedonia, FYR",79,2007-2008
5th pillar: Higher education and training,"Macedonia, FYR",75,2007-2008
"5.01 Secondary education enrollment, gross %*",Madagascar,125,2017-2018
"5.02 Tertiary education enrollment, gross %*",Madagascar,127,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Madagascar,110,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Madagascar,75,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Madagascar,76,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Madagascar,92,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Madagascar,77,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Madagascar,104,2017-2018
5th pillar: Higher education and training,Madagascar,123,2017-2018
"5.01 Secondary education enrollment, gross %*",Madagascar,129,2016-2017
"5.02 Tertiary education enrollment, gross %*",Madagascar,131,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Madagascar,115,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Madagascar,82,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Madagascar,82,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Madagascar,104,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Madagascar,98,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Madagascar,96,2016-2017
5th pillar: Higher education and training,Madagascar,126,2016-2017
"5.01 Secondary education enrollment, gross %*",Madagascar,128,2015-2016
"5.02 Tertiary education enrollment, gross %*",Madagascar,129,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Madagascar,115,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Madagascar,91,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Madagascar,96,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Madagascar,126,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Madagascar,122,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Madagascar,105,2015-2016
5th pillar: Higher education and training,Madagascar,131,2015-2016
"5.01 Secondary education enrollment, gross %*",Madagascar,130,2014-2015
"5.02 Tertiary education enrollment, gross %*",Madagascar,132,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Madagascar,115,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Madagascar,93,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Madagascar,93,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Madagascar,135,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Madagascar,117,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Madagascar,102,2014-2015
5th pillar: Higher education and training,Madagascar,130,2014-2015
"5.01 Secondary education enrollment, gross %*",Madagascar,139,2013-2014
"5.02 Tertiary education enrollment, gross %*",Madagascar,136,2013-2014
